department,focus_group_name,pain_point,expectations
BAA,BAA ALJs,Navigating between multiple screens,
BAA,BAA ALJs,Repeating data entry,
BAA,BAA ALJs,No full access to IPS,
BAA,BAA ALJs,Initial user frustration (learning curve),
BAA,BAA ALJs,,"Allow date, user to propagate"
BAA,BAA ALJs,,Easier navigation
BAA,BAA ALJs,,Streamlined data input
BAA,BAA ALJs,,Up front learning curve should be easier
BAA,BAA ALJs,One owner with multiple properties,
BAA,BAA ALJs,Need to look up each address,
BAA,BAA ALJs,Cannot pull a case up with violation number,
BAA,BAA ALJs,Decision bank,
BAA,BAA ALJs,Looking for details or specific information,
BAA,BAA ALJs,One property to multiple owner,
BAA,BAA ALJs,Rental Registry doesn’t transfer into notes,
BAA,BAA ALJs,,Centralized dropdown like AIMS: Owner to properties to cases to violations
BAA,BAA ALJs,,Case -> violations number (drop down but searchable by violation number)
BAA,BAA ALJs,,Autogenerate common decisions with and edit feature
BAA,BAA ALJs,,"Overview page: violation issued, violation status, date resolve"
BAA,BAA ALJs,,Property sold but sometimes don’t open violations disappear. Gets confusing with new names and new citations same violations
BAA,BAA ALJs,,Payments tab should include a tracker like AIMS showing the changes and why (comment) and by which user
BAA,BAA ALJs,,Tracking with USPS tracking number -? A way too automatically do this
BAA,BAA ALJs,,Instead of having to download emails and manually uploading them -> drag and drop for attachments
BAA,BAA ALJs,,Built-in recording system – automatic
BAA,BAA ALJs,,Application for codes to input information immediately.
BAA,BAA ALJs,Scheduling of hearings and case posture/history/state/ not readable apparent in IPS,
BAA,BAA ALJs,"Fines, fees difficult to distinguish in IPS",
BAA,BAA ALJs,Cannot easily rename files in IPS,
BAA,BAA ALJs,Too many windows,
BAA,BAA ALJs,,An adjudication specific module
BAA,BAA ALJs,,Better designation of fines / fees and which violation it is associated with
BAA,BAA ALJs,,Better layout and more intuitive UI
BAA,BAA ALJs,Automatic records of adjudication downloads / uploads,
BAA,BAA ALJs,No decision bank,
BAA,BAA ALJs,No change tracking,
BAA,BAA ALJs,No Related properties visualization,
BAA,BAA ALJs,Track of service / check USPS,
BAA,BAA ALJs,,(to keep) Drag and drop of some documents
BAA,BAA ALJs,,(to keep) Color coding of actions / departments
BAA,BAA Operations,Search case when client doesn’t have a violation number,
BAA,BAA Operations,Case notes not submitted in one spot,
BAA,BAA Operations,,Case notes together like in alta via.
BAA,BAA Operations,Not very visual or information are not put together (notes),
BAA,BAA Operations,,(to keep) Very detailed on information
BAA,BAA Operations,,Easier to find information like reservice / notes
BAA,BAA Operations,Actions log is so hard to understand,
BAA,BAA Operations,No hearing schedule: a way to view hearings in designated time frame,
BAA,BAA Operations,Having to search by tax ID instead of address,
BAA,BAA Operations,,We dont need 30 different green shades but i do like different color for different department
BAA,BAA Operations,,Be able to type in different action types instead of just “case notes”
BAA,BAA Operations,,Wrap text instead of sliding the bar all the way over
BAA,BAA Operations,,A recently viewed ability would be amazing
BAA,BAA Operations,,If we could search by address that would be so much more efficient
BAA,BAA Operations,Not being able to search by address,
BAA,BAA Operations,When you search one of the previews should show fine amount,
BAA,BAA Operations,Would love for there to be a “hearing schedule (date)” action that then makes a schedule,
BAA,BAA Operations,A way to filter the action log so you can see only “BAA” or only “codes”,
BAA,BAA Operations,,(to keep) The color coordination of codes being one color and BAA another
BAA,BAA Operations,,To check if rental registry have been applied for and obtained (people lie about this all the time)
BAA,BAA Operations,Repeat same information,
BAA,BAA Operations,,Improve add tab
BAA,BAA Operations,Hunting for files,
BAA,BAA Operations,Respondent cannot access files,
BAA,BAA Operations,,(to keep) inspections
BAA,BAA Operations,Violation searches: have to search for address then click each case to see if any open fees,
BAA,BAA Operations,In IPS have to approve pending tickets twice.,
BAA,BAA Operations,BAA case notes: if multiple rounds of tickets only way to make sure correct note is based on date,
BAA,BAA Operations,"Adding default fees, you have to do individually",
BAA,BAA Operations,,Filter open to show all cases with fines
BAA,BAA Operations,,When clicking BAA ticketing from pending to approve either combine both or just one action
BAA,BAA Operations,,BAA case notes with action like first round ticket button
BAA,BAA Operations,,Select all fees at once when applying
BAA,BAA Operations,Manually opening each case to see if theres a fine,
BAA,BAA Operations,,More filter options for addresses with multiple cases
BAA,BAA Operations,,Less action button when going to add notes
